run_id,condition,bot,replication,session,manche,decision,position_agent,carte_agent,carte_bot,carte_ecartee,historique,infoset,infoset_numero,action_parsee,parsing,resultat_manche,historique_final,flags,tokens_in,tokens_out,tokens_raisonnement,tokens_cache_lus,tokens_cache_ecrits,cout_usd,latence_ms,modele,horodatage,sortie_brute
SM-station-r1,SM,Station,1,0,1,1,J1,2,1,0,,J1/C2/ouverture,3,bet,ok,2,bet call,,3,440,431,0,1615,0.00093235,11141,openai/gpt-5.6-luna,2026-08-22T19:10:23.601+00:00,"ACTION: engager
"
SM-station-r1,SM,Station,1,0,2,1,J2,0,1,2,check,J2/C0/apres_check,7,check,ok,-1,check check,,3,429,362,0,1604,0.0009164,11282,openai/gpt-5.6-luna,2026-08-22T19:10:34.920+00:00,"Avec Tor, retenir mène à une révélation avec une chance égale de gagner ou de perdre. Engager permettrait à l’adversaire de couvrir s’il possède Vael, tandis qu’il se retirerait probablement avec Rhun. L’engagement est donc défavorable en moyenne.

ACTION: retenir
"
SM-station-r1,SM,Station,1,0,3,1,J1,2,1,0,,J1/C2/ouverture,3,check,ok,1,check check,,3,399,390,0,1615,0.00088315,12139,openai/gpt-5.6-luna,2026-08-22T19:10:47.088+00:00,"ACTION: retenir
"
SM-station-r1,SM,Station,1,0,4,1,J2,2,1,0,check,J2/C2/apres_check,9,check,ok,1,check check,,3,525,516,0,1605,0.00103185,10437,openai/gpt-5.6-luna,2026-08-22T19:10:57.574+00:00,"ACTION: retenir
"
SM-station-r1,SM,Station,1,0,5,1,J1,2,0,1,,J1/C2/ouverture,3,bet,ok,2,bet call,,3,1024,1015,0,1615,0.00163315,19625,openai/gpt-5.6-luna,2026-08-22T19:11:17.220+00:00,"ACTION: engager
"
SM-station-r1,SM,Station,1,0,6,1,J2,0,2,1,check,J2/C0/apres_check,7,bet,ok,-2,check bet call,,3,268,259,0,1604,0.0007232,8733,openai/gpt-5.6-luna,2026-08-22T19:11:25.981+00:00,"ACTION: engager
"
SM-station-r1,SM,Station,1,0,7,1,J1,1,0,2,,J1/C1/ouverture,2,bet,ok,2,bet call,,3,364,355,0,1615,0.00084115,11422,openai/gpt-5.6-luna,2026-08-22T19:11:37.440+00:00,"ACTION: engager
"
SM-station-r1,SM,Station,1,0,8,1,J2,0,1,2,check,J2/C0/apres_check,7,check,ok,-1,check check,,3,339,330,0,1604,0.0008084,8625,openai/gpt-5.6-luna,2026-08-22T19:11:46.094+00:00,"ACTION: retenir
"
SM-station-r1,SM,Station,1,0,9,1,J1,1,0,2,,J1/C1/ouverture,2,check,ok,1,check check,,3,355,346,0,1615,0.00083035,12047,openai/gpt-5.6-luna,2026-08-22T19:11:58.165+00:00,"ACTION: retenir
"
SM-station-r1,SM,Station,1,0,10,1,J2,1,0,2,check,J2/C1/apres_check,8,check,ok,1,check check,,3,284,222,0,1605,0.00074265,11046,openai/gpt-5.6-luna,2026-08-22T19:12:09.251+00:00,"Je choisis de retenir : cela mène à une révélation avec un gain espéré nul. Engager permettrait à l’Ouvrant de se retirer avec Tor, mais entraînerait une perte de 2 avec Rhun, pour une espérance négative.

ACTION: retenir
"
